drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,JUN(68); HES1(30); EGR1(29); CHEK1(21); CCL2(19),very_high
sirolimus,1.11,99.94973487711076,JUN(68); HES1(30); EGR1(29); CHEK1(21); CCL2(19),very_high
docetaxel,1.11,67.13797039774691,JUN(68); HES1(30); EGR1(29); CHEK1(21); CCL2(19),high
paclitaxel,10.0,66.4422042761503,JUN(68); HES1(30); EGR1(29); CHEK1(21); CCL2(19),high
vinorelbine,10.0,50.40758926912036,JUN(68); HES1(30); EGR1(29); CHEK1(21); CCL2(19),high
vinblastine,10.0,49.01422796021608,JUN(68); HES1(30); EGR1(29); CHEK1(21); CCL2(19),moderate
NVP-AUY922,1.11,34.33340201313987,JUN(68); HES1(30); EGR1(29); CHEK1(21); CCL2(19),moderate
NVP-BEZ235,10.0,34.27574188245658,JUN(68); HES1(30); EGR1(29); CHEK1(21); CCL2(19),moderate
lestaurtinib,10.0,33.4007885013182,JUN(68); HES1(30); EGR1(29); CHEK1(21); CCL2(19),moderate
methotrexate,10.0,33.23826329292631,JUN(68); HES1(30); EGR1(29); CHEK1(21); CCL2(19),moderate
epirubicin,10.0,31.678694307575853,JUN(68); HES1(30); EGR1(29); CHEK1(21); CCL2(19),moderate
camptothecin,1.11,30.98679557377792,JUN(68); HES1(30); EGR1(29); CHEK1(21); CCL2(19),moderate
gemcitabine,10.0,30.42041090169629,JUN(68); HES1(30); EGR1(29); CHEK1(21); CCL2(19),moderate
GDC-0941,10.0,28.86778125632739,JUN(68); HES1(30); EGR1(29); CHEK1(21); CCL2(19),low
staurosporine,10.0,28.54967598019515,JUN(68); HES1(30); EGR1(29); CHEK1(21); CCL2(19),low
