drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,70.36465707730575,PPARG(22); HDAC2(12); KDM5A(11); HES1(10); ABL1(10),very_high
docetaxel,10.0,60.937928728661994,PPARG(22); HDAC2(12); KDM5A(11); HES1(10); ABL1(10),high
vinorelbine,10.0,53.25598130547672,PPARG(22); HDAC2(12); KDM5A(11); HES1(10); ABL1(10),high
vinblastine,10.0,48.763818304683795,PPARG(22); HDAC2(12); KDM5A(11); HES1(10); ABL1(10),moderate
temsirolimus,10.0,45.13472948443175,PPARG(22); HDAC2(12); KDM5A(11); HES1(10); ABL1(10),moderate
methotrexate,10.0,44.49895524436592,PPARG(22); HDAC2(12); KDM5A(11); HES1(10); ABL1(10),moderate
MG-132,10.0,33.86157197881785,PPARG(22); HDAC2(12); KDM5A(11); HES1(10); ABL1(10),moderate
lestaurtinib,10.0,30.871769262891306,PPARG(22); HDAC2(12); KDM5A(11); HES1(10); ABL1(10),moderate
navitoclax,10.0,29.645233086399955,PPARG(22); HDAC2(12); KDM5A(11); HES1(10); ABL1(10),low
lapatinib,10.0,27.49539649415582,PPARG(22); HDAC2(12); KDM5A(11); HES1(10); ABL1(10),low
bortezomib,10.0,26.708744426887982,PPARG(22); HDAC2(12); KDM5A(11); HES1(10); ABL1(10),low
ABT-737,10.0,25.714502052384237,PPARG(22); HDAC2(12); KDM5A(11); HES1(10); ABL1(10),low
AZD-6482,10.0,24.368849139857964,PPARG(22); HDAC2(12); KDM5A(11); HES1(10); ABL1(10),low
staurosporine,10.0,23.987451613976518,PPARG(22); HDAC2(12); KDM5A(11); HES1(10); ABL1(10),low
foretinib,10.0,23.90210063474852,PPARG(22); HDAC2(12); KDM5A(11); HES1(10); ABL1(10),low
MK-1775,10.0,22.809010571093705,PPARG(22); HDAC2(12); KDM5A(11); HES1(10); ABL1(10),low
gemcitabine,10.0,20.77314113419648,PPARG(22); HDAC2(12); KDM5A(11); HES1(10); ABL1(10),low
epirubicin,10.0,20.156268405002663,PPARG(22); HDAC2(12); KDM5A(11); HES1(10); ABL1(10),low
sorafenib,10.0,19.61220167703136,PPARG(22); HDAC2(12); KDM5A(11); HES1(10); ABL1(10),low
nilotinib,10.0,17.52164094518091,PPARG(22); HDAC2(12); KDM5A(11); HES1(10); ABL1(10),low
