drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,72.5701441257733,CCL2(34); EGR1(21); CHEK1(20); RB1(18); CDK4(16),very_high
docetaxel,10.0,63.143415777129455,CCL2(34); EGR1(21); CHEK1(20); RB1(18); CDK4(16),high
vinorelbine,10.0,55.21986739644846,CCL2(34); EGR1(21); CHEK1(20); RB1(18); CDK4(16),high
vinblastine,10.0,50.937107762164146,CCL2(34); EGR1(21); CHEK1(20); RB1(18); CDK4(16),high
methotrexate,10.0,47.93027734013495,CCL2(34); EGR1(21); CHEK1(20); RB1(18); CDK4(16),moderate
temsirolimus,10.0,47.77331525547937,CCL2(34); EGR1(21); CHEK1(20); RB1(18); CDK4(16),moderate
MG-132,10.0,38.55555434643663,CCL2(34); EGR1(21); CHEK1(20); RB1(18); CDK4(16),moderate
lestaurtinib,10.0,35.84491272219548,CCL2(34); EGR1(21); CHEK1(20); RB1(18); CDK4(16),moderate
navitoclax,10.0,32.97706670752244,CCL2(34); EGR1(21); CHEK1(20); RB1(18); CDK4(16),moderate
lapatinib,10.0,32.66764199399376,CCL2(34); EGR1(21); CHEK1(20); RB1(18); CDK4(16),moderate
bortezomib,10.0,31.69349559385087,CCL2(34); EGR1(21); CHEK1(20); RB1(18); CDK4(16),moderate
staurosporine,10.0,29.187072115578278,CCL2(34); EGR1(21); CHEK1(20); RB1(18); CDK4(16),low
ABT-737,10.0,29.046335673506736,CCL2(34); EGR1(21); CHEK1(20); RB1(18); CDK4(16),low
AZD-6482,10.0,28.527097116726374,CCL2(34); EGR1(21); CHEK1(20); RB1(18); CDK4(16),low
MK-1775,10.0,26.871483050411808,CCL2(34); EGR1(21); CHEK1(20); RB1(18); CDK4(16),low
foretinib,10.0,26.654998027943144,CCL2(34); EGR1(21); CHEK1(20); RB1(18); CDK4(16),low
gemcitabine,10.0,25.492013129433566,CCL2(34); EGR1(21); CHEK1(20); RB1(18); CDK4(16),low
epirubicin,10.0,25.379507512223732,CCL2(34); EGR1(21); CHEK1(20); RB1(18); CDK4(16),low
sorafenib,10.0,23.27214306483773,CCL2(34); EGR1(21); CHEK1(20); RB1(18); CDK4(16),low
tanespimycin,10.0,21.38435776914448,CCL2(34); EGR1(21); CHEK1(20); RB1(18); CDK4(16),low
