drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,73.62581954191614,CCL2(45); EGR1(29); PPARG(12); CDK4(11); HDAC2(10),very_high
docetaxel,10.0,64.19909119327238,CCL2(45); EGR1(29); PPARG(12); CDK4(11); HDAC2(10),high
vinorelbine,10.0,55.97064353157987,CCL2(45); EGR1(29); PPARG(12); CDK4(11); HDAC2(10),high
vinblastine,10.0,51.687883897295556,CCL2(45); EGR1(29); PPARG(12); CDK4(11); HDAC2(10),high
temsirolimus,10.0,48.775123267606205,CCL2(45); EGR1(29); PPARG(12); CDK4(11); HDAC2(10),moderate
methotrexate,10.0,48.59241944878535,CCL2(45); EGR1(29); PPARG(12); CDK4(11); HDAC2(10),moderate
MG-132,10.0,38.80446951435075,CCL2(45); EGR1(29); PPARG(12); CDK4(11); HDAC2(10),moderate
lestaurtinib,10.0,36.03918864251312,CCL2(45); EGR1(29); PPARG(12); CDK4(11); HDAC2(10),moderate
navitoclax,10.0,33.17134262784007,CCL2(45); EGR1(29); PPARG(12); CDK4(11); HDAC2(10),moderate
lapatinib,10.0,33.013401116705445,CCL2(45); EGR1(29); PPARG(12); CDK4(11); HDAC2(10),moderate
bortezomib,10.0,31.942410761764922,CCL2(45); EGR1(29); PPARG(12); CDK4(11); HDAC2(10),moderate
staurosporine,10.0,29.43598728349237,CCL2(45); EGR1(29); PPARG(12); CDK4(11); HDAC2(10),low
ABT-737,10.0,29.24061159382435,CCL2(45); EGR1(29); PPARG(12); CDK4(11); HDAC2(10),low
AZD-6482,10.0,28.958303981264862,CCL2(45); EGR1(29); PPARG(12); CDK4(11); HDAC2(10),low
foretinib,10.0,27.719606673067148,CCL2(45); EGR1(29); PPARG(12); CDK4(11); HDAC2(10),low
MK-1775,10.0,27.425297499337358,CCL2(45); EGR1(29); PPARG(12); CDK4(11); HDAC2(10),low
gemcitabine,10.0,26.154155238083945,CCL2(45); EGR1(29); PPARG(12); CDK4(11); HDAC2(10),low
epirubicin,10.0,25.628422680137824,CCL2(45); EGR1(29); PPARG(12); CDK4(11); HDAC2(10),low
sorafenib,10.0,23.968279952372658,CCL2(45); EGR1(29); PPARG(12); CDK4(11); HDAC2(10),low
nilotinib,10.0,21.76979128725476,CCL2(45); EGR1(29); PPARG(12); CDK4(11); HDAC2(10),low
