drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,JUN(29); PPARG(23); EGR1(20); HES1(18); PMAIP1(16),very_high
sirolimus,0.37,100.0,JUN(29); PPARG(23); EGR1(20); HES1(18); PMAIP1(16),very_high
docetaxel,1.11,67.7060319445771,JUN(29); PPARG(23); EGR1(20); HES1(18); PMAIP1(16),high
paclitaxel,10.0,67.37414232604625,JUN(29); PPARG(23); EGR1(20); HES1(18); PMAIP1(16),high
vinorelbine,10.0,50.79117881556527,JUN(29); PPARG(23); EGR1(20); HES1(18); PMAIP1(16),high
vinblastine,10.0,49.397817506660985,JUN(29); PPARG(23); EGR1(20); HES1(18); PMAIP1(16),moderate
NVP-BEZ235,10.0,36.53242378025422,JUN(29); PPARG(23); EGR1(20); HES1(18); PMAIP1(16),moderate
NVP-AUY922,1.11,35.86005682591962,JUN(29); PPARG(23); EGR1(20); HES1(18); PMAIP1(16),moderate
lestaurtinib,10.0,35.671355825525886,JUN(29); PPARG(23); EGR1(20); HES1(18); PMAIP1(16),moderate
epirubicin,10.0,33.97332917829096,JUN(29); PPARG(23); EGR1(20); HES1(18); PMAIP1(16),moderate
methotrexate,10.0,33.11439443757579,JUN(29); PPARG(23); EGR1(20); HES1(18); PMAIP1(16),moderate
camptothecin,1.11,32.55614231875826,JUN(29); PPARG(23); EGR1(20); HES1(18); PMAIP1(16),moderate
gemcitabine,10.0,31.848043112197725,JUN(29); PPARG(23); EGR1(20); HES1(18); PMAIP1(16),moderate
staurosporine,10.0,31.40160446976128,JUN(29); PPARG(23); EGR1(20); HES1(18); PMAIP1(16),moderate
GDC-0941,10.0,30.184727802045693,JUN(29); PPARG(23); EGR1(20); HES1(18); PMAIP1(16),moderate
SN-38,1.11,27.25193034370031,JUN(29); PPARG(23); EGR1(20); HES1(18); PMAIP1(16),low
tanespimycin,10.0,27.21505697059937,JUN(29); PPARG(23); EGR1(20); HES1(18); PMAIP1(16),low
nutlin-3,10.0,25.524016371385628,JUN(29); PPARG(23); EGR1(20); HES1(18); PMAIP1(16),low
topotecan,1.11,24.28266006013834,JUN(29); PPARG(23); EGR1(20); HES1(18); PMAIP1(16),low
dactinomycin,10.0,23.77519900710381,JUN(29); PPARG(23); EGR1(20); HES1(18); PMAIP1(16),low
