drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.37,100.0,PMAIP1(19); GATA3(17); PPARG(16); HES1(14); KDM5A(14),very_high
sirolimus,1.11,100.0,PMAIP1(19); GATA3(17); PPARG(16); HES1(14); KDM5A(14),very_high
docetaxel,1.11,67.22944155313661,PMAIP1(19); GATA3(17); PPARG(16); HES1(14); KDM5A(14),high
paclitaxel,10.0,66.53367543154,PMAIP1(19); GATA3(17); PPARG(16); HES1(14); KDM5A(14),high
vinorelbine,10.0,50.323489318277375,PMAIP1(19); GATA3(17); PPARG(16); HES1(14); KDM5A(14),high
vinblastine,10.0,48.93012800937309,PMAIP1(19); GATA3(17); PPARG(16); HES1(14); KDM5A(14),moderate
NVP-BEZ235,10.0,34.51460525763573,PMAIP1(19); GATA3(17); PPARG(16); HES1(14); KDM5A(14),moderate
NVP-AUY922,1.11,34.424873168529615,PMAIP1(19); GATA3(17); PPARG(16); HES1(14); KDM5A(14),moderate
lestaurtinib,10.0,33.639651876497354,PMAIP1(19); GATA3(17); PPARG(16); HES1(14); KDM5A(14),moderate
methotrexate,10.0,33.32973444831607,PMAIP1(19); GATA3(17); PPARG(16); HES1(14); KDM5A(14),moderate
epirubicin,10.0,31.787446630395642,PMAIP1(19); GATA3(17); PPARG(16); HES1(14); KDM5A(14),moderate
camptothecin,1.11,31.119373992193292,PMAIP1(19); GATA3(17); PPARG(16); HES1(14); KDM5A(14),moderate
gemcitabine,10.0,30.529163224516083,PMAIP1(19); GATA3(17); PPARG(16); HES1(14); KDM5A(14),moderate
GDC-0941,10.0,28.921233831017595,PMAIP1(19); GATA3(17); PPARG(16); HES1(14); KDM5A(14),low
staurosporine,10.0,28.771258187944238,PMAIP1(19); GATA3(17); PPARG(16); HES1(14); KDM5A(14),low
SN-38,1.11,25.815162017135396,PMAIP1(19); GATA3(17); PPARG(16); HES1(14); KDM5A(14),low
tanespimycin,10.0,25.73018235960589,PMAIP1(19); GATA3(17); PPARG(16); HES1(14); KDM5A(14),low
nutlin-3,10.0,24.684454050153064,PMAIP1(19); GATA3(17); PPARG(16); HES1(14); KDM5A(14),low
topotecan,1.11,22.84589173357342,PMAIP1(19); GATA3(17); PPARG(16); HES1(14); KDM5A(14),low
navitoclax,10.0,22.08525696525149,PMAIP1(19); GATA3(17); PPARG(16); HES1(14); KDM5A(14),low
