drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,CASP3(36); GATA3(28); RB1(26); CHEK1(16); PPARG(15),very_high
sirolimus,1.11,99.37235475183952,CASP3(36); GATA3(28); RB1(26); CHEK1(16); PPARG(15),very_high
docetaxel,1.11,66.69546922675245,CASP3(36); GATA3(28); RB1(26); CHEK1(16); PPARG(15),high
paclitaxel,10.0,66.36357960822158,CASP3(36); GATA3(28); RB1(26); CHEK1(16); PPARG(15),high
vinorelbine,10.0,50.801543923126324,CASP3(36); GATA3(28); RB1(26); CHEK1(16); PPARG(15),high
vinblastine,10.0,49.40818261422204,CASP3(36); GATA3(28); RB1(26); CHEK1(16); PPARG(15),moderate
methotrexate,10.0,35.54443622273044,CASP3(36); GATA3(28); RB1(26); CHEK1(16); PPARG(15),moderate
NVP-BEZ235,10.0,35.39727370490712,CASP3(36); GATA3(28); RB1(26); CHEK1(16); PPARG(15),moderate
NVP-AUY922,1.11,35.070774047581466,CASP3(36); GATA3(28); RB1(26); CHEK1(16); PPARG(15),moderate
lestaurtinib,10.0,34.11872975900815,CASP3(36); GATA3(28); RB1(26); CHEK1(16); PPARG(15),moderate
epirubicin,10.0,33.7354552714861,CASP3(36); GATA3(28); RB1(26); CHEK1(16); PPARG(15),moderate
gemcitabine,10.0,32.58470436969614,CASP3(36); GATA3(28); RB1(26); CHEK1(16); PPARG(15),moderate
camptothecin,1.11,32.2826284109616,CASP3(36); GATA3(28); RB1(26); CHEK1(16); PPARG(15),moderate
staurosporine,10.0,31.015912256183704,CASP3(36); GATA3(28); RB1(26); CHEK1(16); PPARG(15),moderate
GDC-0941,10.0,30.474305560699968,CASP3(36); GATA3(28); RB1(26); CHEK1(16); PPARG(15),moderate
tanespimycin,10.0,27.3795898360769,CASP3(36); GATA3(28); RB1(26); CHEK1(16); PPARG(15),low
SN-38,1.11,26.978416435903664,CASP3(36); GATA3(28); RB1(26); CHEK1(16); PPARG(15),low
nutlin-3,10.0,26.888708152338676,CASP3(36); GATA3(28); RB1(26); CHEK1(16); PPARG(15),low
lapatinib,10.0,24.3926073800508,CASP3(36); GATA3(28); RB1(26); CHEK1(16); PPARG(15),low
navitoclax,10.0,24.303188665376844,CASP3(36); GATA3(28); RB1(26); CHEK1(16); PPARG(15),low
