drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,99.21270030934137,KDM5A(38); RB1(28); CCL2(24); CASP3(18); STAT3(15),very_high
sirolimus,1.11,97.94789945952434,KDM5A(38); RB1(28); CCL2(24); CASP3(18); STAT3(15),very_high
docetaxel,1.11,65.1293014849592,KDM5A(38); RB1(28); CCL2(24); CASP3(18); STAT3(15),high
paclitaxel,10.0,64.43353536336267,KDM5A(38); RB1(28); CCL2(24); CASP3(18); STAT3(15),high
vinorelbine,10.0,48.21983963248609,KDM5A(38); RB1(28); CCL2(24); CASP3(18); STAT3(15),moderate
vinblastine,10.0,46.82647832358181,KDM5A(38); RB1(28); CCL2(24); CASP3(18); STAT3(15),moderate
NVP-AUY922,1.11,33.64631875526634,KDM5A(38); RB1(28); CCL2(24); CASP3(18); STAT3(15),moderate
methotrexate,10.0,32.94793710461209,KDM5A(38); RB1(28); CCL2(24); CASP3(18); STAT3(15),moderate
NVP-BEZ235,10.0,32.670663534429444,KDM5A(38); RB1(28); CCL2(24); CASP3(18); STAT3(15),moderate
lestaurtinib,10.0,31.39211958853043,KDM5A(38); RB1(28); CCL2(24); CASP3(18); STAT3(15),moderate
epirubicin,10.0,31.138956153367715,KDM5A(38); RB1(28); CCL2(24); CASP3(18); STAT3(15),moderate
camptothecin,1.11,30.292878820703052,KDM5A(38); RB1(28); CCL2(24); CASP3(18); STAT3(15),moderate
gemcitabine,10.0,30.284263312248754,KDM5A(38); RB1(28); CCL2(24); CASP3(18); STAT3(15),moderate
staurosporine,10.0,28.85459638364937,KDM5A(38); RB1(28); CCL2(24); CASP3(18); STAT3(15),low
GDC-0941,10.0,28.118564755122954,KDM5A(38); RB1(28); CCL2(24); CASP3(18); STAT3(15),low
tanespimycin,10.0,25.348385015901904,KDM5A(38); RB1(28); CCL2(24); CASP3(18); STAT3(15),low
SN-38,1.11,24.98866684564515,KDM5A(38); RB1(28); CCL2(24); CASP3(18); STAT3(15),low
nutlin-3,10.0,24.292209034220328,KDM5A(38); RB1(28); CCL2(24); CASP3(18); STAT3(15),low
lapatinib,10.0,22.22536077029256,KDM5A(38); RB1(28); CCL2(24); CASP3(18); STAT3(15),low
topotecan,1.11,22.019396562083173,KDM5A(38); RB1(28); CCL2(24); CASP3(18); STAT3(15),low
