drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.96359358409596,SRC(23); AKT1(19); HES1(17); ABL1(15); PMAIP1(14),high
docetaxel,10.0,59.53686523545221,SRC(23); AKT1(19); HES1(17); ABL1(15); PMAIP1(14),high
vinorelbine,10.0,51.85491781226695,SRC(23); AKT1(19); HES1(17); ABL1(15); PMAIP1(14),high
vinblastine,10.0,47.36275481147402,SRC(23); AKT1(19); HES1(17); ABL1(15); PMAIP1(14),moderate
temsirolimus,10.0,44.231926118829605,SRC(23); AKT1(19); HES1(17); ABL1(15); PMAIP1(14),moderate
methotrexate,10.0,43.645603065787924,SRC(23); AKT1(19); HES1(17); ABL1(15); PMAIP1(14),moderate
MG-132,10.0,32.962369452825385,SRC(23); AKT1(19); HES1(17); ABL1(15); PMAIP1(14),moderate
lestaurtinib,10.0,30.00680937665458,SRC(23); AKT1(19); HES1(17); ABL1(15); PMAIP1(14),moderate
navitoclax,10.0,28.800269320746022,SRC(23); AKT1(19); HES1(17); ABL1(15); PMAIP1(14),low
lapatinib,10.0,26.794678396598634,SRC(23); AKT1(19); HES1(17); ABL1(15); PMAIP1(14),low
bortezomib,10.0,25.855392248309972,SRC(23); AKT1(19); HES1(17); ABL1(15); PMAIP1(14),low
ABT-737,10.0,24.869538286730304,SRC(23); AKT1(19); HES1(17); ABL1(15); PMAIP1(14),low
AZD-6482,10.0,23.51549696127996,SRC(23); AKT1(19); HES1(17); ABL1(15); PMAIP1(14),low
staurosporine,10.0,23.067852480143337,SRC(23); AKT1(19); HES1(17); ABL1(15); PMAIP1(14),low
foretinib,10.0,22.563683257184255,SRC(23); AKT1(19); HES1(17); ABL1(15); PMAIP1(14),low
MK-1775,10.0,21.97245416074675,SRC(23); AKT1(19); HES1(17); ABL1(15); PMAIP1(14),low
gemcitabine,10.0,19.919788955618476,SRC(23); AKT1(19); HES1(17); ABL1(15); PMAIP1(14),low
epirubicin,10.0,19.257065879010202,SRC(23); AKT1(19); HES1(17); ABL1(15); PMAIP1(14),low
sorafenib,10.0,18.659600868193458,SRC(23); AKT1(19); HES1(17); ABL1(15); PMAIP1(14),low
nilotinib,10.0,16.183223567616636,SRC(23); AKT1(19); HES1(17); ABL1(15); PMAIP1(14),low
