drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,0.04,100.0,JUN(32); RB1(17); CCL2(17); HSPB1(16); EZH2(13),very_high
sirolimus,0.37,100.0,JUN(32); RB1(17); CCL2(17); HSPB1(16); EZH2(13),very_high
docetaxel,1.11,67.89983002333685,JUN(32); RB1(17); CCL2(17); HSPB1(16); EZH2(13),high
paclitaxel,10.0,67.567940404806,JUN(32); RB1(17); CCL2(17); HSPB1(16); EZH2(13),high
vinorelbine,10.0,52.199780271035415,JUN(32); RB1(17); CCL2(17); HSPB1(16); EZH2(13),high
vinblastine,10.0,50.80641896213113,JUN(32); RB1(17); CCL2(17); HSPB1(16); EZH2(13),high
NVP-BEZ235,10.0,36.21532510416104,JUN(32); RB1(17); CCL2(17); HSPB1(16); EZH2(13),moderate
NVP-AUY922,1.11,35.51884348719508,JUN(32); RB1(17); CCL2(17); HSPB1(16); EZH2(13),moderate
lestaurtinib,10.0,35.34037172302266,JUN(32); RB1(17); CCL2(17); HSPB1(16); EZH2(13),moderate
methotrexate,10.0,35.030454294841405,JUN(32); RB1(17); CCL2(17); HSPB1(16); EZH2(13),moderate
epirubicin,10.0,33.488166476920995,JUN(32); RB1(17); CCL2(17); HSPB1(16); EZH2(13),moderate
camptothecin,1.11,32.21334431085886,JUN(32); RB1(17); CCL2(17); HSPB1(16); EZH2(13),moderate
gemcitabine,10.0,31.933825010370434,JUN(32); RB1(17); CCL2(17); HSPB1(16); EZH2(13),moderate
staurosporine,10.0,31.067224626237977,JUN(32); RB1(17); CCL2(17); HSPB1(16); EZH2(13),moderate
GDC-0941,10.0,30.381195365001542,JUN(32); RB1(17); CCL2(17); HSPB1(16); EZH2(13),moderate
tanespimycin,10.0,27.43090220613118,JUN(32); RB1(17); CCL2(17); HSPB1(16); EZH2(13),low
SN-38,1.11,26.909132335800837,JUN(32); RB1(17); CCL2(17); HSPB1(16); EZH2(13),low
nutlin-3,10.0,26.385173896678346,JUN(32); RB1(17); CCL2(17); HSPB1(16); EZH2(13),low
topotecan,1.11,23.93986205223887,JUN(32); RB1(17); CCL2(17); HSPB1(16); EZH2(13),low
lapatinib,10.0,23.878625452161714,JUN(32); RB1(17); CCL2(17); HSPB1(16); EZH2(13),low
