drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,IKBKB(22); JUN(21); RB1(20); KDM5A(19); CDK4(16),very_high
sirolimus,0.37,100.0,IKBKB(22); JUN(21); RB1(20); KDM5A(19); CDK4(16),very_high
docetaxel,1.11,67.67053430723116,IKBKB(22); JUN(21); RB1(20); KDM5A(19); CDK4(16),high
paclitaxel,10.0,67.33864468870031,IKBKB(22); JUN(21); RB1(20); KDM5A(19); CDK4(16),high
vinorelbine,10.0,51.842305942732224,IKBKB(22); JUN(21); RB1(20); KDM5A(19); CDK4(16),high
vinblastine,10.0,50.44894463382794,IKBKB(22); JUN(21); RB1(20); KDM5A(19); CDK4(16),high
NVP-BEZ235,10.0,36.53924865622734,IKBKB(22); JUN(21); RB1(20); KDM5A(19); CDK4(16),moderate
NVP-AUY922,1.11,35.347283377939725,IKBKB(22); JUN(21); RB1(20); KDM5A(19); CDK4(16),moderate
lestaurtinib,10.0,35.03186706620666,IKBKB(22); JUN(21); RB1(20); KDM5A(19); CDK4(16),moderate
methotrexate,10.0,34.52104197505064,IKBKB(22); JUN(21); RB1(20); KDM5A(19); CDK4(16),moderate
epirubicin,10.0,33.30977287246436,IKBKB(22); JUN(21); RB1(20); KDM5A(19); CDK4(16),moderate
gemcitabine,10.0,32.38785961479613,IKBKB(22); JUN(21); RB1(20); KDM5A(19); CDK4(16),moderate
camptothecin,1.11,32.03682394261283,IKBKB(22); JUN(21); RB1(20); KDM5A(19); CDK4(16),moderate
staurosporine,10.0,30.795901586535866,IKBKB(22); JUN(21); RB1(20); KDM5A(19); CDK4(16),moderate
GDC-0941,10.0,30.147502012415323,IKBKB(22); JUN(21); RB1(20); KDM5A(19); CDK4(16),moderate
tanespimycin,10.0,27.86520121068663,IKBKB(22); JUN(21); RB1(20); KDM5A(19); CDK4(16),low
nutlin-3,10.0,26.79513988465636,IKBKB(22); JUN(21); RB1(20); KDM5A(19); CDK4(16),low
SN-38,1.11,26.732611967554863,IKBKB(22); JUN(21); RB1(20); KDM5A(19); CDK4(16),low
navitoclax,10.0,24.243241341913457,IKBKB(22); JUN(21); RB1(20); KDM5A(19); CDK4(16),low
dactinomycin,10.0,23.87102767241062,IKBKB(22); JUN(21); RB1(20); KDM5A(19); CDK4(16),low
