drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
temsirolimus,1.11,100.0,KDM5A(18); JUN(16); RB1(15); AKT1(14); AXIN1(14),very_high
sirolimus,1.11,99.32021909365297,KDM5A(18); JUN(16); RB1(15); AKT1(14); AXIN1(14),very_high
docetaxel,1.11,66.05233993881629,KDM5A(18); JUN(16); RB1(15); AKT1(14); AXIN1(14),high
paclitaxel,10.0,65.7204503202854,KDM5A(18); JUN(16); RB1(15); AKT1(14); AXIN1(14),high
vinorelbine,10.0,50.15841463519018,KDM5A(18); JUN(16); RB1(15); AKT1(14); AXIN1(14),high
vinblastine,10.0,48.765053326285894,KDM5A(18); JUN(16); RB1(15); AKT1(14); AXIN1(14),moderate
NVP-AUY922,1.11,34.99293905758868,KDM5A(18); JUN(16); RB1(15); AKT1(14); AXIN1(14),moderate
methotrexate,10.0,34.9013069347943,KDM5A(18); JUN(16); RB1(15); AKT1(14); AXIN1(14),moderate
NVP-BEZ235,10.0,34.75414441697097,KDM5A(18); JUN(16); RB1(15); AKT1(14); AXIN1(14),moderate
lestaurtinib,10.0,33.48948589748204,KDM5A(18); JUN(16); RB1(15); AKT1(14); AXIN1(14),moderate
epirubicin,10.0,33.10621140995999,KDM5A(18); JUN(16); RB1(15); AKT1(14); AXIN1(14),moderate
gemcitabine,10.0,31.955460508170034,KDM5A(18); JUN(16); RB1(15); AKT1(14); AXIN1(14),moderate
camptothecin,1.11,31.689024550427284,KDM5A(18); JUN(16); RB1(15); AKT1(14); AXIN1(14),moderate
staurosporine,10.0,30.34283067442244,KDM5A(18); JUN(16); RB1(15); AKT1(14); AXIN1(14),moderate
GDC-0941,10.0,29.831176272763802,KDM5A(18); JUN(16); RB1(15); AKT1(14); AXIN1(14),low
tanespimycin,10.0,27.301754846084094,KDM5A(18); JUN(16); RB1(15); AKT1(14); AXIN1(14),low
SN-38,1.11,26.384812575369352,KDM5A(18); JUN(16); RB1(15); AKT1(14); AXIN1(14),low
nutlin-3,10.0,26.24557886440251,KDM5A(18); JUN(16); RB1(15); AKT1(14); AXIN1(14),low
navitoclax,10.0,23.656829451729685,KDM5A(18); JUN(16); RB1(15); AKT1(14); AXIN1(14),low
topotecan,1.11,23.415542291807377,KDM5A(18); JUN(16); RB1(15); AKT1(14); AXIN1(14),low
