drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.08573155378082,PPARG(18); HES1(16); CHEK1(14); PMAIP1(13); CCL2(11),high
docetaxel,10.0,59.65900320513706,PPARG(18); HES1(16); CHEK1(14); PMAIP1(13); CCL2(11),high
vinorelbine,10.0,52.34230540715022,PPARG(18); HES1(16); CHEK1(14); PMAIP1(13); CCL2(11),high
vinblastine,10.0,47.850142406357286,PPARG(18); HES1(16); CHEK1(14); PMAIP1(13); CCL2(11),moderate
methotrexate,10.0,44.24972083901049,PPARG(18); HES1(16); CHEK1(14); PMAIP1(13); CCL2(11),moderate
temsirolimus,10.0,44.217808876033835,PPARG(18); HES1(16); CHEK1(14); PMAIP1(13); CCL2(11),moderate
MG-132,10.0,33.56648722604795,PPARG(18); HES1(16); CHEK1(14); PMAIP1(13); CCL2(11),moderate
lestaurtinib,10.0,29.992692133858785,PPARG(18); HES1(16); CHEK1(14); PMAIP1(13); CCL2(11),low
navitoclax,10.0,28.26512418463856,PPARG(18); HES1(16); CHEK1(14); PMAIP1(13); CCL2(11),low
lapatinib,10.0,27.398796169821185,PPARG(18); HES1(16); CHEK1(14); PMAIP1(13); CCL2(11),low
bortezomib,10.0,26.459510021532516,PPARG(18); HES1(16); CHEK1(14); PMAIP1(13); CCL2(11),low
ABT-737,10.0,24.334393150622834,PPARG(18); HES1(16); CHEK1(14); PMAIP1(13); CCL2(11),low
AZD-6482,10.0,24.099997072298795,PPARG(18); HES1(16); CHEK1(14); PMAIP1(13); CCL2(11),low
staurosporine,10.0,23.05373523734755,PPARG(18); HES1(16); CHEK1(14); PMAIP1(13); CCL2(11),low
foretinib,10.0,22.530042958755814,PPARG(18); HES1(16); CHEK1(14); PMAIP1(13); CCL2(11),low
MK-1775,10.0,22.21132230877088,PPARG(18); HES1(16); CHEK1(14); PMAIP1(13); CCL2(11),low
gemcitabine,10.0,20.52390672884102,PPARG(18); HES1(16); CHEK1(14); PMAIP1(13); CCL2(11),low
epirubicin,10.0,19.242948636214415,PPARG(18); HES1(16); CHEK1(14); PMAIP1(13); CCL2(11),low
sorafenib,10.0,19.146988463076692,PPARG(18); HES1(16); CHEK1(14); PMAIP1(13); CCL2(11),low
nilotinib,10.0,16.670611162499878,PPARG(18); HES1(16); CHEK1(14); PMAIP1(13); CCL2(11),low
