drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,69.4392317174037,SRC(19); CHEK1(13); HSPB1(12); EGR1(10); CHEK2(9),high
docetaxel,10.0,60.01250336875993,SRC(19); CHEK1(13); HSPB1(12); EGR1(10); CHEK2(9),high
vinorelbine,10.0,52.330555945574666,SRC(19); CHEK1(13); HSPB1(12); EGR1(10); CHEK2(9),high
vinblastine,10.0,47.83839294478174,SRC(19); CHEK1(13); HSPB1(12); EGR1(10); CHEK2(9),moderate
methotrexate,10.0,43.564630923562774,SRC(19); CHEK1(13); HSPB1(12); EGR1(10); CHEK2(9),moderate
temsirolimus,10.0,43.51592319235507,SRC(19); CHEK1(13); HSPB1(12); EGR1(10); CHEK2(9),moderate
MG-132,10.0,32.88139731060023,SRC(19); CHEK1(13); HSPB1(12); EGR1(10); CHEK2(9),moderate
lestaurtinib,10.0,29.252962970814597,SRC(19); CHEK1(13); HSPB1(12); EGR1(10); CHEK2(9),low
navitoclax,10.0,28.046823402163994,SRC(19); CHEK1(13); HSPB1(12); EGR1(10); CHEK2(9),low
lapatinib,10.0,26.17657762736156,SRC(19); CHEK1(13); HSPB1(12); EGR1(10); CHEK2(9),low
bortezomib,10.0,25.77442010608482,SRC(19); CHEK1(13); HSPB1(12); EGR1(10); CHEK2(9),low
ABT-737,10.0,24.11609236814827,SRC(19); CHEK1(13); HSPB1(12); EGR1(10); CHEK2(9),low
AZD-6482,10.0,23.447112567961106,SRC(19); CHEK1(13); HSPB1(12); EGR1(10); CHEK2(9),low
foretinib,10.0,23.022525622260915,SRC(19); CHEK1(13); HSPB1(12); EGR1(10); CHEK2(9),low
staurosporine,10.0,22.368645321899844,SRC(19); CHEK1(13); HSPB1(12); EGR1(10); CHEK2(9),low
MK-1775,10.0,21.49019170429946,SRC(19); CHEK1(13); HSPB1(12); EGR1(10); CHEK2(9),low
gemcitabine,10.0,19.838816813393322,SRC(19); CHEK1(13); HSPB1(12); EGR1(10); CHEK2(9),low
sorafenib,10.0,18.679309439682537,SRC(19); CHEK1(13); HSPB1(12); EGR1(10); CHEK2(9),low
epirubicin,10.0,18.557858720766703,SRC(19); CHEK1(13); HSPB1(12); EGR1(10); CHEK2(9),low
nilotinib,10.0,16.642065932693303,SRC(19); CHEK1(13); HSPB1(12); EGR1(10); CHEK2(9),low
