drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.40184973952591,PPARG(25); RB1(18); PMAIP1(16); EGR1(14); AKT1(13),high
docetaxel,10.0,58.97512139088217,PPARG(25); RB1(18); PMAIP1(16); EGR1(14); AKT1(13),high
vinorelbine,10.0,51.29317396769691,PPARG(25); RB1(18); PMAIP1(16); EGR1(14); AKT1(13),high
vinblastine,10.0,46.80101096690398,PPARG(25); RB1(18); PMAIP1(16); EGR1(14); AKT1(13),moderate
methotrexate,10.0,43.083859221217885,PPARG(25); RB1(18); PMAIP1(16); EGR1(14); AKT1(13),moderate
temsirolimus,10.0,43.03515149001018,PPARG(25); RB1(18); PMAIP1(16); EGR1(14); AKT1(13),moderate
MG-132,10.0,32.400625608255346,PPARG(25); RB1(18); PMAIP1(16); EGR1(14); AKT1(13),moderate
lestaurtinib,10.0,28.826830516066174,PPARG(25); RB1(18); PMAIP1(16); EGR1(14); AKT1(13),low
navitoclax,10.0,27.62069094741558,PPARG(25); RB1(18); PMAIP1(16); EGR1(14); AKT1(13),low
lapatinib,10.0,26.134939718604233,PPARG(25); RB1(18); PMAIP1(16); EGR1(14); AKT1(13),low
bortezomib,10.0,25.293648403739912,PPARG(25); RB1(18); PMAIP1(16); EGR1(14); AKT1(13),low
ABT-737,10.0,23.689959913399854,PPARG(25); RB1(18); PMAIP1(16); EGR1(14); AKT1(13),low
AZD-6482,10.0,22.966340865616207,PPARG(25); RB1(18); PMAIP1(16); EGR1(14); AKT1(13),low
foretinib,10.0,21.985143644383147,PPARG(25); RB1(18); PMAIP1(16); EGR1(14); AKT1(13),low
staurosporine,10.0,21.887873619554952,PPARG(25); RB1(18); PMAIP1(16); EGR1(14); AKT1(13),low
MK-1775,10.0,21.39391454794565,PPARG(25); RB1(18); PMAIP1(16); EGR1(14); AKT1(13),low
gemcitabine,10.0,19.35804511104843,PPARG(25); RB1(18); PMAIP1(16); EGR1(14); AKT1(13),low
epirubicin,10.0,18.07708701842181,PPARG(25); RB1(18); PMAIP1(16); EGR1(14); AKT1(13),low
sorafenib,10.0,17.74988393426247,PPARG(25); RB1(18); PMAIP1(16); EGR1(14); AKT1(13),low
nilotinib,10.0,15.60468395481552,PPARG(25); RB1(18); PMAIP1(16); EGR1(14); AKT1(13),low
