drug_name,best_dose_um,predicted_inhibition,top_contributing_genes,confidence
paclitaxel,10.0,68.41780014079303,PPARG(23); EGR1(16); CCL2(11); AURKB(7); CCND1(7),high
docetaxel,10.0,58.991071792149256,PPARG(23); EGR1(16); CCL2(11); AURKB(7); CCND1(7),high
vinorelbine,10.0,51.34132978007401,PPARG(23); EGR1(16); CCL2(11); AURKB(7); CCND1(7),high
vinblastine,10.0,46.849166779281084,PPARG(23); EGR1(16); CCL2(11); AURKB(7); CCND1(7),moderate
methotrexate,10.0,42.529554410647656,PPARG(23); EGR1(16); CCL2(11); AURKB(7); CCND1(7),moderate
temsirolimus,10.0,41.58936955346167,PPARG(23); EGR1(16); CCL2(11); AURKB(7); CCND1(7),moderate
MG-132,10.0,31.89217114509953,PPARG(23); EGR1(16); CCL2(11); AURKB(7); CCND1(7),moderate
lestaurtinib,10.0,27.38104857951766,PPARG(23); EGR1(16); CCL2(11); AURKB(7); CCND1(7),low
navitoclax,10.0,26.15451240302636,PPARG(23); EGR1(16); CCL2(11); AURKB(7); CCND1(7),low
lapatinib,10.0,25.580634908034014,PPARG(23); EGR1(16); CCL2(11); AURKB(7); CCND1(7),low
bortezomib,10.0,24.739343593169693,PPARG(23); EGR1(16); CCL2(11); AURKB(7); CCND1(7),low
AZD-6482,10.0,22.36724289502966,PPARG(23); EGR1(16); CCL2(11); AURKB(7); CCND1(7),low
ABT-737,10.0,22.22378136901064,PPARG(23); EGR1(16); CCL2(11); AURKB(7); CCND1(7),low
foretinib,10.0,21.987449109345796,PPARG(23); EGR1(16); CCL2(11); AURKB(7); CCND1(7),low
MK-1775,10.0,20.807404326265406,PPARG(23); EGR1(16); CCL2(11); AURKB(7); CCND1(7),low
staurosporine,10.0,20.44209168300644,PPARG(23); EGR1(16); CCL2(11); AURKB(7); CCND1(7),low
gemcitabine,10.0,18.803740300478196,PPARG(23); EGR1(16); CCL2(11); AURKB(7); CCND1(7),low
sorafenib,10.0,18.08336672035499,PPARG(23); EGR1(16); CCL2(11); AURKB(7); CCND1(7),low
epirubicin,10.0,16.610908474032584,PPARG(23); EGR1(16); CCL2(11); AURKB(7); CCND1(7),low
nilotinib,10.0,15.606989419778166,PPARG(23); EGR1(16); CCL2(11); AURKB(7); CCND1(7),low
